Yield_Bags_Per_Acre,Soil_Type=Clay,Soil_Type=Loam,Soil_Type=Peat,Soil_Type=Sandy,Soil_Type=Silt,pH=acidic,pH=alkaline,pH=base,Seed_Variety=Drought-Resistant,Seed_Variety=Early-Maturing,Seed_Variety=Hybrid A,Seed_Variety=Hybrid B,Seed_Variety=Open-Pollinated,Rainfall_mm,Temperature_C,Humidity_%,Planting_Date=April,Planting_Date=June,Planting_Date=March,Planting_Date=May,Fertilizer_Type=Compost,Fertilizer_Type=DAP,Fertilizer_Type=NPK,Fertilizer_Type=Organic,Fertilizer_Type=Urea
22,1,0,0,0,0,0,1,0,0,0,0,1,0,556.24,0.377104,57.65,0,0,1,0,1,0,0,0,0
10,0,1,0,0,0,0,0,1,0,1,0,0,0,997.33,0.255051,63.53,0,1,0,0,0,0,1,0,0
10,1,0,0,0,0,0,0,1,0,0,1,0,0,875.96,0.352694,73.17,0,1,0,0,0,1,0,0,0
12,0,0,0,0,1,1,0,0,1,0,0,0,0,425.24,0.030303,65.49,0,0,0,1,0,0,0,0,1
33,0,0,0,0,1,0,0,1,1,0,0,0,0,639.19,0.0496633,53.86,0,0,1,0,1,0,0,0,0
35,0,1,0,0,0,0,1,0,0,1,0,0,0,859.71,0.675926,77.03,0,0,1,0,0,0,1,0,0
16,0,0,0,0,1,1,0,0,0,0,0,0,1,1065.14,0.0496633,55.59,1,0,0,0,0,0,1,0,0
30,1,0,0,0,0,0,0,1,0,0,1,0,0,507.02,0.0555556,73.13,1,0,0,0,0,0,0,0,1
22,0,0,0,1,0,0,1,0,1,0,0,0,0,1194.36,0.538721,87.85,0,0,1,0,0,0,1,0,0
10,0,1,0,0,0,0,1,0,0,0,1,0,0,526.47,0.866162,86.61,1,0,0,0,0,1,0,0,0
24,0,1,0,0,0,0,1,0,0,1,0,0,0,750.8,0.393098,78.11,1,0,0,0,0,0,1,0,0
21,0,0,0,0,1,0,0,1,0,0,1,0,0,419.94,0.00589226,77.94,1,0,0,0,0,0,1,0,0
10,0,1,0,0,0,0,1,0,0,0,0,1,0,639.19,0.515152,76.29,0,1,0,0,0,0,1,0,0
35,0,0,0,0,1,0,0,1,0,0,1,0,0,1063.5,0.0555556,55.82,0,0,0,1,0,0,0,1,0
12,1,0,0,0,0,1,0,0,0,0,0,0,1,1084.82,0.611953,85.27,0,0,0,1,0,0,1,0,0
28,0,0,0,1,0,1,0,0,0,0,0,0,1,1151.93,0.565657,54.94,0,0,1,0,0,0,0,0,1
16,0,1,0,0,0,1,0,0,0,0,0,1,0,1119.17,0.989057,86.06,0,0,1,0,0,0,0,1,0
33,1,0,0,0,0,1,0,0,1,0,0,0,0,711.25,0.507576,62.64,0,1,0,0,0,0,0,0,1
12,0,0,0,1,0,0,1,0,0,0,1,0,0,854.07,0.942761,50.59,0,0,1,0,0,1,0,0,0
28,0,1,0,0,0,0,1,0,1,0,0,0,0,729.49,0.431818,63.64,0,0,1,0,0,0,0,0,1
27,0,0,1,0,0,0,1,0,0,0,0,0,1,849.79,0.705387,64.16,1,0,0,0,0,0,0,1,0
30,1,0,0,0,0,1,0,0,0,0,0,1,0,611.16,0.192761,56.16,1,0,0,0,1,0,0,0,0
34,0,0,1,0,0,0,1,0,0,0,0,0,1,993.72,0.354377,67.98,0,0,0,1,0,0,0,1,0
13,0,1,0,0,0,1,0,0,0,0,0,1,0,857.91,0.672559,81.58,1,0,0,0,0,0,0,1,0
21,0,0,0,1,0,1,0,0,0,0,0,0,1,522.1,0.469697,53.86,0,0,0,1,1,0,0,0,0
